Kanjidic2 Heisig CSV header  3007 Heisig rows and max 12 meanings from first 12,155 entries (max 14 meanings)
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
映,813,6620,1742,reflect,reflection,projection,,,,,,,,, 
曳,,66F3,2848,pull,tug,jerk,admit,install,quote,refer to,,,,, 
栄,427,6804,326,flourish,prosperity,honor,glory,splendor,,,,,,, 
永,615,6C38,132,eternity,long,lengthy,,,,,,,,, 
泳,232,6CF3,136,swim,,,,,,,,,,, 
洩,,6D29,2849,leak,escape,,,,,,,,,, 
瑛,,745B,2566,sparkle of jewelry,crystal,,,,,,,,,, 
穎,,7A4E,2790,heads of grain,cleverness,,,,,,,,,, 
英,426,82F1,1741,England,English,,,,,,,,,, 
衛,617,885B,1646,defense,protection,,,,,,,,,, 
詠,1016,8A60,345,recitation,poem,song,composing,,,,,,,, 
鋭,1018,92ED,500,pointed,sharpness,edge,weapon,sharp,violent,,,,,, 
液,620,6DB2,1038,fluid,liquid,juice,sap,secretion,,,,,,, 
疫,1019,75AB,1689,epidemic,,,,,,,,,,, 
益,619,76CA,1881,benefit,gain,profit,advantage,,,,,,,, 
駅,233,99C5,1984,station,,,,,,,,,,, 
悦,1020,60A6,619,ecstasy,joy,rapture,,,,,,,,, 
謁,1022,8B01,452,audience,audience (with king),,,,,,,,,, 
越,1021,8D8A,387,surpass,cross over,move to,exceed,Vietnam,,,,,,, 
閲,1023,95B2,1618,review,inspection,revision,,,,,,,,, 
榎,,698E,2514,lotus tree,nettle tree,hackberry,,,,,,,,, 
厭,,53AD,2149,get tired of,satiate,bore,dislike,disagreeable,unwelcome,,,,,, 
円,4,5186,1811,circle,yen,round,,,,,,,,, 
園,234,5712,585,park,garden,yard,farm,,,,,,,, 
堰,,5830,2191,dam,prevent,stop up,,,,,,,,, 
奄,,5944,2055,cover,suffocate,obstruct,,,,,,,,, 
宴,1025,5BB4,191,banquet,feast,party,,,,,,,,, 
延,814,5EF6,392,prolong,stretching,,,,,,,,,, 
怨,,6028,1420,grudge,show resentment,be jealous,,,,,,,,, 
掩,,63A9,2057,cover,conceal,,,,,,,,,, 
援,1026,63F4,1951,abet,help,save,,,,,,,,, 
沿,815,6CBF,795,run alongside,follow along,run along,lie along,,,,,,,, 
演,621,6F14,2007,performance,act,play,render,stage,,,,,,, 
炎,1024,708E,162,inflammation,flame,blaze,,,,,,,,, 
焔,,7114,2546,flame,blaze,,,,,,,,,, 
煙,1027,7159,1612,smoke,,,,,,,,,,, 
