Kanjidic2 Heisig CSV header  3007 Heisig rows and max 12 meanings from first 12,155 entries (max 14 meanings)
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
工,113,5DE5,76,craft,construction,katakana e radical (no. 48),,,,,,,,, 
巧,1242,5DE7,1241,adroit,skilled,ingenuity,,,,,,,,, 
幸,279,5E78,1505,happiness,blessing,fortune,,,,,,,,, 
広,114,5E83,739,wide,broad,spacious,,,,,,,,, 
康,480,5EB7,1159,ease,peace,,,,,,,,,, 
弘,,5F18,1234,vast,broad,wide,,,,,,,,, 
恒,1251,6052,620,constancy,always,,,,,,,,,, 
慌,1259,614C,624,disconcerted,be confused,lose one's head,,,,,,,,, 
抗,1246,6297,648,confront,resist,defy,oppose,,,,,,,, 
拘,1249,62D8,654,arrest,seize,concerned,adhere to,despite,,,,,,, 
控,1258,63A7,1318,withdraw,draw in,hold back,refrain from,be moderate,,,,,,, 
攻,1247,653B,330,aggression,attack,,,,,,,,,, 
昂,,6602,2449,rise,,,,,,,,,,, 
晃,,6643,2446,clear,,,,,,,,,,, 
更,1248,66F4,694,grow late,night watch,sit up late,of course,,,,,,,, 
杭,,676D,2484,stake,post,picket,,,,,,,,, 
校,21,6821,1278,exam,school,printing,proof,correction,,,,,,, 
梗,,6897,2498,for the most part,close up,flower stem,,,,,,,,, 
構,675,69CB,1818,posture,build,pretend,,,,,,,,, 
江,1244,6C5F,139,creek,inlet,bay,,,,,,,,, 
洪,1252,6D2A,1799,deluge,flood,vast,,,,,,,,, 
浩,,6D69,2311,wide expanse,abundance,vigorous,,,,,,,,, 
港,280,6E2F,1800,harbor,,,,,,,,,,, 
溝,1263,6E9D,1819,gutter,ditch,sewer,drain,10**32,,,,,,, 
甲,1243,7532,1113,armor,high (voice),A grade,first class,former,instep,carapace,,,,, 
皇,861,7687,261,emperor,,,,,,,,,,, 
硬,1260,786C,695,stiff,hard,,,,,,,,,, 
稿,1266,7A3F,892,draft,copy,manuscript,straw,,,,,,,, 
糠,,7CE0,2652,rice bran,,,,,,,,,,, 
紅,862,7D05,1355,crimson,deep red,,,,,,,,,, 
紘,,7D18,2662,large,,,,,,,,,,, 
絞,1261,7D5E,1348,strangle,constrict,wring,,,,,,,,, 
綱,1264,7DB1,1963,hawser,class (genus),rope,cord,cable,,,,,,, 
耕,673,8015,1808,till,plow,cultivate,,,,,,,,, 
考,117,8003,1252,consider,think over,,,,,,,,,, 
肯,1250,80AF,374,agreement,consent,comply with,,,,,,,,, 
肱,,80B1,2469,ability,talent,elbow,arm,,,,,,,, 
腔,,8154,2465,body cavity,,,,,,,,,,, 
膏,,818F,2923,fat,grease,lard,paste,ointment,plaster,,,,,, 
航,479,822A,1870,navigate,sail,cruise,fly,,,,,,,, 
荒,1253,8352,488,laid waste,rough,rude,wild,,,,,,,, 
行,118,884C,873,going,journey,,,,,,,,,, 
衡,1267,8861,891,equilibrium,measuring rod,scale,,,,,,,,, 
講,676,8B1B,1816,lecture,club,association,,,,,,,,, 
貢,1257,8CA2,81,tribute,support,finance,,,,,,,,, 
購,1268,8CFC,1817,subscription,buy,,,,,,,,,, 
郊,1254,90CA,1844,outskirts,suburbs,rural area,,,,,,,,, 
酵,1265,9175,1430,fermentation,,,,,,,,,,, 
鉱,674,9271,741,mineral,ore,,,,,,,,,, 
鋼,864,92FC,1962,steel,,,,,,,,,,, 
閤,,95A4,2776,small side gate,,,,,,,,,,, 
降,863,964D,1308,descend,precipitate,fall,surrender,,,,,,,, 
項,1262,9805,82,paragraph,nape of neck,clause,item,term (expression),,,,,,, 
香,1255,9999,911,incense,smell,perfume,,,,,,,,, 
高,119,9AD8,307,tall,high,expensive,,,,,,,,, 
鴻,,9D3B,2313,large bird,wild goose,large,great,powerful,prosperous,,,,,, 
剛,1270,525B,1964,sturdy,strength,,,,,,,,,, 
劫,,52AB,2857,threat,long ages,,,,,,,,,, 
号,281,53F7,1242,nickname,number,item,title,pseudonym,name,call,,,,, 
合,121,5408,253,fit,suit,join,0.1,,,,,,,, 
壕,,58D5,2186,trench,dugout,air raid shelter,,,,,,,,, 
拷,1269,62F7,1255,torture,beat,,,,,,,,,, 
濠,,6FE0,2306,moat,ditch,canal,Australia,,,,,,,, 
豪,1271,8C6A,543,overpowering,great,powerful,excelling,Australia,,,,,,, 
轟,,8F5F,2729,roar,thunder,boom resound,,,,,,,,, 
麹,,9EB9,2753,malt,yeast,,,,,,,,,, 
克,1272,514B,104,overcome,kindly,skillfully,,,,,,,,, 
刻,865,523B,1521,engrave,cut fine,chop,hash,mince,time,carving,,,,, 
告,481,544A,247,revelation,tell,inform,announce,,,,,,,, 
国,123,56FD,581,country,,,,,,,,,,, 
穀,866,7A40,917,cereals,grain,,,,,,,,,, 
酷,1273,9177,1431,cruel,severe,atrocious,unjust,,,,,,,, 
黒,124,9ED2,174,black,,,,,,,,,,, 
獄,1274,7344,338,prison,jail,,,,,,,,,, 
漉,,6F09,2304,manufacture paper,spread out thin,strain,percolate,,,,,,,, 
腰,1879,8170,1605,loins,hips,waist,low wainscoting,,,,,,,, 
忽,,5FFD,2431,in a moment,instantly,all of a sudden,neglect,disregard,,,,,,, 
惚,,60DA,2277,fall in love with,admire,grow senile,,,,,,,,, 
骨,867,9AA8,1288,skeleton,bone,remains,frame,,,,,,,, 
狛,,72DB,2343,archaic part of Korea,lion-dog shrine guards,,,,,,,,,, 
込,1275,8FBC,780,crowded,mixture,in bulk,included,(kokuji),,,,,,, 
此,,6B64,2043,this,current,next,coming,last,past,,,,,, 
頃,,9803,2791,time,about,toward,,,,,,,,, 
今,125,4ECA,1587,now,,,,,,,,,,, 
困,868,56F0,579,quandary,become distressed,annoyed,,,,,,,,, 
坤,,5764,2184,divination sign,land,earth,,,,,,,,, 
墾,1281,58BE,1971,ground-breaking,open up farmland,,,,,,,,,, 
婚,1278,5A5A,1830,marriage,,,,,,,,,,, 
恨,1277,6068,1460,regret,bear a grudge,resentment,malice,hatred,,,,,,, 
懇,1282,61C7,1970,sociable,kind,courteous,hospitable,cordial,,,,,,, 
昏,,660F,2451,dark,evening,dusk,,,,,,,,, 
昆,1276,6606,448,descendants,elder brother,insect,,,,,,,,, 
根,282,6839,1461,root,radical,head (pimple),,,,,,,,, 
梱,,68B1,2518,pack,tie up,bale,,,,,,,,, 
混,677,6DF7,450,mix,blend,confuse,,,,,,,,, 
痕,,75D5,2578,mark,foot print,,,,,,,,,, 
紺,1279,7D3A,1758,dark blue,navy,,,,,,,,,, 
魂,1280,9B42,2021,soul,spirit,,,,,,,,,, 
些,,4E9B,2046,a little bit,sometimes,,,,,,,,,, 
佐,1283,4F50,952,assistant,help,,,,,,,,,, 
叉,,53C9,2914,fork in road,crotch,,,,,,,,,, 
唆,1284,5506,766,tempt,seduce,instigate,promote,,,,,,,, 
嵯,,5D6F,2230,steep,craggy,rugged,,,,,,,,, 
左,22,5DE6,77,left,,,,,,,,,,, 
差,482,5DEE,554,distinction,difference,variation,discrepancy,margin,balance,,,,,, 
査,678,67FB,1781,investigate,,,,,,,,,,, 
沙,,6C99,2296,sand,,,,,,,,,,, 
瑳,,7473,2559,polish,,,,,,,,,,, 
砂,869,7802,117,sand,,,,,,,,,,, 
詐,1285,8A50,1141,lie,falsehood,deceive,pretend,,,,,,,, 
鎖,1286,9396,1937,chain,irons,connection,,,,,,,,, 
裟,,88DF,2701,Buddhist surplice,,,,,,,,,,, 
坐,,5750,2844,sit,,,,,,,,,,, 
座,870,5EA7,1024,squat,seat,cushion,gathering,sit,,,,,,, 
挫,,632B,2845,crush,break,sprain,discourage,,,,,,,, 
債,1292,50B5,1544,bond,loan,debt,,,,,,,,, 
催,1293,50AC,987,sponsor,hold (a meeting),give (a dinner),,,,,,,,, 
再,679,518D,1815,again,twice,second time,,,,,,,,, 
最,484,6700,821,utmost,most,extreme,,,,,,,,, 
哉,,54C9,2704,how,what,alas,question mark,?,,,,,,, 
塞,,585E,2214,close,shut,cover,block,obstruct,,,,,,, 
妻,681,59BB,1889,wife,spouse,,,,,,,,,, 
宰,1288,5BB0,1499,superintend,manager,rule,,,,,,,,, 
彩,1290,5F69,1714,coloring,paint,makeup,,,,,,,,, 
才,126,624D,681,genius,years old,cubic shaku,,,,,,,,, 
採,682,63A1,733,pick,take,fetch,take up,,,,,,,, 
栽,1289,683D,358,plantation,planting,,,,,,,,,, 
歳,1294,6B73,512,year-end,age,occasion,opportunity,,,,,,,, 
済,871,6E08,1731,finish,come to an end,excusable,need not,,,,,,,, 
災,680,707D,167,disaster,calamity,woe,curse,evil,,,,,,, 
采,,91C7,2090,dice,form,appearance,take,coloring,,,,,,, 
犀,,7280,2069,rhinocerous,,,,,,,,,,, 
砕,1287,7815,116,smash,break,crush,familiar,popular,,,,,,, 
砦,,7826,2045,fort,stronghold,entrenchments,,,,,,,,, 
祭,283,796D,1102,ritual,offer prayers,celebrate,deify,enshrine,worship,,,,,, 
斎,1291,658E,1732,purification,Buddhist food,room,worship,avoid,alike,,,,,, 
細,284,7D30,1363,dainty,get thin,taper,slender,narrow,,,,,,, 
菜,483,83DC,734,vegetable,side dish,greens,,,,,,,,, 
裁,872,88C1,397,tailor,judge,decision,cut out (pattern),,,,,,,, 
載,1295,8F09,359,ride,board,get on,place,spread,10**44,,,,,, 
際,683,969B,1296,occasion,side,edge,verge,dangerous,adventurous,indecent,time,when,,, 
剤,1296,5264,1730,dose,medicine,drug,,,,,,,,, 
在,684,5728,685,exist,outskirts,suburbs,located in,,,,,,,, 
材,485,6750,683,lumber,log,timber,wood,talent,,,,,,, 
罪,686,7F6A,1636,guilt,sin,crime,fault,blame,offense,,,,,, 
財,685,8CA1,682,property,money,wealth,assets,,,,,,,, 
冴,,51B4,2134,be clear,serene,cold,skilful,,,,,,,, 
坂,372,5742,723,slope,incline,hill,,,,,,,,, 
阪,,962A,1294,heights,slope,,,,,,,,,, 
榊,,698A,2490,sacred Shinto tree,(kokuji),,,,,,,,,, 
肴,,80B4,2896,accompaniment for drinks,,,,,,,,,,, 
咲,1303,54B2,2018,blossom,bloom,,,,,,,,,, 
崎,1297,5D0E,778,promontory,cape,spit,,,,,,,,, 
埼,,57FC,153,cape,spit,promontory,,,,,,,,, 
鷺,,9DFA,2833,heron,,,,,,,,,,, 
作,127,4F5C,1142,make,production,prepare,build,,,,,,,, 
削,1298,524A,118,plane,sharpen,whittle,pare,,,,,,,, 
搾,1301,643E,1324,squeeze,,,,,,,,,,, 
昨,486,6628,1140,yesterday,previous,,,,,,,,,, 
朔,,6714,2846,conjunction (astronomy),first day of month,,,,,,,,,, 
柵,,67F5,2507,stockade,fence,weir,entwine around,,,,,,,, 
窄,,7A84,2614,narrow,fold,furl,shrug,pucker,shut,close,,,,, 
策,873,7B56,948,scheme,plan,policy,step,means,,,,,,, 
索,1299,7D22,1365,cord,rope,,,,,,,,,, 
錯,1302,932F,1185,confused,mix,be in disorder,,,,,,,,, 
桜,1036,685C,1932,cherry,,,,,,,,,,, 
鮭,,9BAD,2815,salmon,,,,,,,,,,, 
笹,,7B39,940,bamboo grass,(kokuji),,,,,,,,,, 
匙,,5319,2891,spoon,,,,,,,,,,, 
冊,874,518A,1826,tome,counter for books,volume,,,,,,,,, 
刷,487,5237,1069,printing,print,,,,,,,,,, 
察,489,5BDF,1103,guess,presume,surmise,judge,understand,,,,,,, 
拶,,62F6,2261,be imminent,,,,,,,,,,, 
撮,1305,64AE,822,snapshot,take pictures,,,,,,,,,, 
擦,1306,64E6,1104,grate,rub,scratch,scrape,chafe,scour,,,,,, 
札,1304,672D,212,tag,paper money,counter for bonds,placard,bid,,,,,,, 
殺,488,6BBA,1493,kill,murder,butcher,slice off,split,diminish,reduce,spoil,,,, 
薩,,85A9,2956,Buddha,,,,,,,,,,, 
雑,687,96D1,562,miscellaneous,,,,,,,,,,, 
皐,,7690,2070,swamp,shore,,,,,,,,,, 
鯖,,9BD6,2820,mackerel,,,,,,,,,,, 
捌,,634C,2256,handle,deal with,dispose of,sell,be in demand,be worldly,be frank,be sensible,be sociable,drainage,sale,demand for 
錆,,9306,2771,tarnish,,,,,,,,,,, 
鮫,,9BAB,2821,shark,,,,,,,,,,, 
皿,1307,76BF,1447,dish,a helping,plate,,,,,,,,, 
晒,,6652,2444,bleach,refine,expose,air,,,,,,,, 
三,23,4E09,3,three,,,,,,,,,,, 
傘,1310,5098,1026,umbrella,,,,,,,,,,, 
参,490,53C2,1720,nonplussed,three,going,coming,visiting,visit,be defeated,die,be madly in love,,, 
山,24,5C71,768,mountain,,,,,,,,,,, 
惨,1309,60E8,1721,wretched,disaster,cruelty,harsh,,,,,,,, 
撒,,6492,2271,scatter,sprinkle,give them the slip,,,,,,,,, 
散,492,6563,1189,scatter,disperse,spend,squander,,,,,,,, 
桟,1308,685F,367,scaffold,cleat,frame,jetty,bolt (door),,,,,,, 
燦,,71E6,2543,brilliant,,,,,,,,,,, 
珊,,73CA,2561,stagger,loneliness,centimeter,,,,,,,,, 
産,491,7523,1560,products,bear,give birth,yield,childbirth,native,property,,,,, 
算,128,7B97,946,calculate,divining,number,abacus,probability,,,,,,, 
纂,,7E82,2641,editing,compiling,,,,,,,,,, 
蚕,688,8695,523,silkworm,,,,,,,,,,, 
讃,,8B83,2711,praise,title on a picture,,,,,,,,,, 
賛,690,8CDB,843,approve,praise,title or inscription on picture,assist,agree with,,,,,,, 
酸,689,9178,1437,acid,bitterness,sour,tart,,,,,,,, 
餐,,9910,2798,eat,drink,swallow,,,,,,,,, 
斬,,65AC,2092,beheading,kill,murder,,,,,,,,, 
暫,1311,66AB,1134,temporarily,a while,moment,long time,,,,,,,, 
残,493,6B8B,808,remainder,leftover,balance,,,,,,,,, 
仕,285,4ED5,960,attend,doing,official,serve,,,,,,,, 
仔,,4ED4,2113,offspring,,,,,,,,,,, 
伺,1313,4F3A,1864,pay respects,visit,ask,inquire,question,implore,,,,,, 
使,287,4F7F,990,use,,,,,,,,,,, 
刺,1314,523A,417,thorn,pierce,stab,prick,sting,calling card,,,,,, 
司,497,53F8,1863,director,official,govt office,rule,administer,,,,,,, 
史,496,53F2,692,history,chronicle,,,,,,,,,, 
嗣,1321,55E3,1867,heir,succeed,,,,,,,,,, 
四,26,56DB,4,four,,,,,,,,,,, 
士,494,58EB,319,gentleman,samurai,samurai radical (no. 33),,,,,,,,, 
始,288,59CB,747,commence,begin,,,,,,,,,, 
姉,498,59C9,413,elder sister,,,,,,,,,,, 
姿,877,59FF,474,figure,form,shape,,,,,,,,, 
子,25,5B50,95,child,sign of the rat,11PM-1AM,first sign of Chinese zodiac,,,,,,,, 
屍,,5C4D,2222,corpse,,,,,,,,,,, 
市,130,5E02,412,market,city,town,,,,,,,,, 
師,693,5E2B,1269,expert,teacher,master,model,exemplar,army (incl. counter),war,,,,, 
志,692,5FD7,600,intention,plan,resolve,aspire,motive,hopes,shilling,,,,, 
思,131,601D,605,think,,,,,,,,,,, 
指,289,6307,659,finger,point to,indicate,put into,play (chess),measure (ruler),,,,,, 
支,691,652F,711,branch,support,sustain,branch radical (no. 65),,,,,,,, 
孜,,5B5C,2209,industriousness,,,,,,,,,,, 
斯,,65AF,2890,this,thus,such,verbal pause,,,,,,,, 
施,1318,65BD,1045,alms,apply bandages,administer first-aid,,,,,,,,, 
旨,1312,65E8,455,delicious,relish,show a liking for,purport,will,clever,expert,,,,, 
枝,1315,679D,713,bough,branch,twig,limb,counter for branches,,,,,,, 
止,129,6B62,370,stop,halt,,,,,,,,,, 
死,286,6B7B,815,death,die,,,,,,,,,, 
氏,495,6C0F,1828,family name,surname,clan,,,,,,,,, 
獅,,7345,2345,lion,,,,,,,,,,, 
祉,1316,7949,1091,welfare,happiness,,,,,,,,,, 
私,876,79C1,902,private,I,me,,,,,,,,, 
糸,27,7CF8,1333,thread,,,,,,,,,,, 
紙,132,7D19,1829,paper,,,,,,,,,,, 
紫,1320,7D2B,1375,purple,violet,,,,,,,,,, 
肢,1317,80A2,714,limb,arms & legs,,,,,,,,,, 
脂,1319,8102,456,fat,grease,tallow,lard,rosin,gum,tar,,,,, 
至,875,81F3,753,climax,arrive,proceed,reach,attain,result in,,,,,, 
視,878,8996,1093,inspection,regard as,see,look at,,,,,,,, 
詞,879,8A5E,1865,part of speech,words,poetry,,,,,,,,, 
詩,291,8A69,346,poem,poetry,,,,,,,,,, 
試,499,8A66,354,test,try,attempt,experiment,ordeal,,,,,,, 
誌,880,8A8C,601,document,records,,,,,,,,,, 
諮,1325,8AEE,475,consult with,,,,,,,,,,, 
資,694,8CC7,473,assets,resources,capital,funds,data,be conducive to,contribute to,,,,, 
賜,1324,8CDC,1052,grant,gift,boon,results,,,,,,,, 
雌,1323,96CC,563,feminine,female,,,,,,,,,, 
飼,1322,98FC,1866,domesticate,raise,keep,feed,,,,,,,, 
歯,290,6B6F,1171,tooth,cog,,,,,,,,,, 
事,293,4E8B,1156,matter,thing,fact,business,reason,possibly,,,,,, 
似,696,4F3C,1029,becoming,resemble,counterfeit,imitate,suitable,,,,,,, 
侍,1326,4F8D,976,waiter,samurai,wait upon,serve,,,,,,,, 
児,697,5150,58,newborn babe,child,young of animals,,,,,,,,, 
字,28,5B57,185,character,letter,word,section of village,,,,,,,, 
寺,133,5BFA,158,Buddhist temple,,,,,,,,,,, 
慈,1328,6148,1389,mercy,,,,,,,,,,, 
持,294,6301,660,hold,have,,,,,,,,,, 
時,135,6642,159,time,hour,,,,,,,,,, 
次,292,6B21,471,next,order,sequence,,,,,,,,, 
滋,1327,6ECB,1388,nourishing,more & more,be luxuriant,planting,turbidity,,,,,,, 
治,544,6CBB,746,reign,be at peace,calm down,subdue,quell,govt,cure,heal,rule,conserve,, 
爾,,723E,2074,you,thou,second person,,,,,,,,, 
璽,1329,74BD,2075,emperor's seal,,,,,,,,,,, 
痔,,75D4,2575,piles,hemorrhoids,,,,,,,,,, 
磁,881,78C1,1390,magnet,porcelain,,,,,,,,,, 
示,695,793A,1086,show,indicate,point out,express,display,,,,,,, 
而,,800C,3006,rake,,,,,,,,,,, 
耳,29,8033,818,ear,,,,,,,,,,, 
自,134,81EA,36,oneself,,,,,,,,,,, 
蒔,,8494,2395,sow (seeds),,,,,,,,,,, 
辞,500,8F9E,1497,resign,word,term,expression,,,,,,,, 
汐,,6C50,110,eventide,tide,salt water,opportunity,,,,,,,, 
鹿,,9E7F,1999,deer,,,,,,,,,,, 
式,295,5F0F,353,style,ceremony,rite,function,method,system,form,expression,,,, 
識,698,8B58,482,discriminating,know,write,,,,,,,,, 
竺,,7AFA,2642,bamboo,,,,,,,,,,, 
軸,1330,8EF8,1112,axis,pivot,stem,stalk,counter for book scrolls,,,,,,, 
宍,,5B8D,2216,muscles,meat,,,,,,,,,, 
雫,,96EB,2778,drop,trickle,dripping,(kokuji),,,,,,,, 
七,30,4E03,7,seven,,,,,,,,,,, 
叱,,53F1,2179,scold,reprove,,,,,,,,,, 
執,1332,57F7,1506,tenacious,take hold,grasp,take to heart,,,,,,,, 
失,501,5931,845,lose,error,fault,disadvantage,loss,,,,,,, 
嫉,,5AC9,2202,jealous,envy,,,,,,,,,, 
室,136,5BA4,754,room,apartment,chamber,greenhouse,cellar,,,,,,, 
悉,,6089,2430,all,entirely,altogether,completely,use up,run out of,exhaust,befriend,serve,,, 
湿,1333,6E7F,1788,damp,wet,moist,,,,,,,,, 
漆,1334,6F06,932,lacquer,varnish,seven,,,,,,,,, 
疾,1331,75BE,1686,rapidly,,,,,,,,,,, 
質,699,8CEA,1137,substance,quality,matter,temperament,,,,,,,, 
実,296,5B9F,1572,reality,truth,,,,,,,,,, 
篠,,7BE0,2639,bamboo grass,,,,,,,,,,, 
偲,,5072,2129,recollect,remember,,,,,,,,,, 
柴,,67F4,2044,brush,firewood,,,,,,,,,, 
芝,1335,829D,1216,turf,lawn,,,,,,,,,, 
屡,,5C61,2221,often,frequently,,,,,,,,,, 
蕊,,854A,2393,pistil,stamen,,,,,,,,,, 
縞,,7E1E,2671,stripe,,,,,,,,,,, 
舎,700,820E,316,cottage,inn,hut,house,mansion,,,,,,, 
写,297,5199,1247,copy,be photographed,describe,,,,,,,,, 
射,882,5C04,1249,shoot,shine into,onto,archery,,,,,,,, 
捨,883,6368,655,discard,throw away,abandon,resign,reject,sacrifice,,,,,, 
赦,1336,8D66,1744,pardon,forgiveness,,,,,,,,,, 
斜,1337,659C,1662,diagonal,slanting,oblique,,,,,,,,, 
煮,1338,716E,1257,boil,cook,,,,,,,,,, 
社,137,793E,1092,company,firm,office,association,shrine,,,,,,, 
紗,,7D17,2673,gauze,gossamer,,,,,,,,,, 
者,298,8005,1256,someone,person,,,,,,,,,, 
謝,701,8B1D,1250,apologize,thank,refuse,,,,,,,,, 
車,31,8ECA,286,car,,,,,,,,,,, 
遮,1339,906E,1192,intercept,interrupt,obstruct,,,,,,,,, 
蛇,1341,86C7,519,snake,serpent,hard drinker,,,,,,,,, 
邪,1340,90AA,1906,wicked,injustice,wrong,,,,,,,,, 
借,502,501F,1186,borrow,rent,,,,,,,,,, 
勺,1342,52FA,68,ladle,one tenth of a go,dip,,,,,,,,, 
尺,884,5C3A,1070,shaku,Japanese foot,measure,scale,rule,,,,,,, 
杓,,6753,2510,ladle,scoop,,,,,,,,,, 
灼,,707C,2544,miraculous,,,,,,,,,,, 
爵,1344,7235,1463,baron,peerage,court rank,,,,,,,,, 
酌,1343,914C,1429,bar-tending,serving sake,the host,draw (water),ladle,scoop,pump,,,,, 
釈,885,91C8,1908,explanation,,,,,,,,,,, 
錫,,932B,2764,copper,tin,,,,,,,,,, 
若,886,82E5,223,young,if,perhaps,possibly,low number,immature,,,,,, 
寂,1345,5BC2,720,loneliness,quietly,mellow,mature,death of a priest,,,,,,, 
弱,138,5F31,1236,weak,frail,,,,,,,,,, 
惹,,60F9,2429,attract,captivate,,,,,,,,,, 
主,299,4E3B,266,lord,chief,master,main thing,principal,,,,,,, 
取,301,53D6,819,take,fetch,take up,,,,,,,,, 
守,300,5B88,186,guard,protect,defend,obey,,,,,,,, 
手,32,624B,637,hand,,,,,,,,,,, 
朱,1346,6731,221,vermilion,cinnabar,scarlet,red,bloody,,,,,,, 
殊,1348,6B8A,810,particularly,especially,exceptionally,,,,,,,,, 
狩,1347,72E9,243,hunt,raid,gather,,,,,,,,, 
珠,1349,73E0,258,pearl,gem,jewel,,,,,,,,, 
種,503,7A2E,1679,species,kind,class,variety,seed,,,,,,, 
腫,,816B,2467,tumor,swelling,,,,,,,,,, 
趣,1350,8DA3,820,gist,proceed to,tend,become,,,,,,,, 
酒,302,9152,1428,sake,alcohol,,,,,,,,,, 
首,139,9996,70,neck,counter for songs and poems,,,,,,,,,, 
儒,1352,5112,1166,Confucian,,,,,,,,,,, 
受,303,53D7,735,accept,undergo,answer (phone),take,get,catch,receive,,,,, 
呪,,546A,2169,spell,curse,charm,malediction,,,,,,,, 
寿,1351,5BFF,1565,longevity,congratulations,one's natural life,,,,,,,,, 
授,702,6388,736,impart,instruct,grant,confer,,,,,,,, 
樹,888,6A39,1446,timber trees,wood,,,,,,,,,, 
綬,,7DAC,2672,ribbon,,,,,,,,,,, 
需,887,9700,1165,demand,request,need,,,,,,,,, 
囚,1353,56DA,1018,captured,criminal,arrest,catch,,,,,,,, 
収,703,53CE,1510,income,obtain,reap,pay,supply,store,,,,,, 
周,504,5468,317,circumference,circuit,lap,,,,,,,,, 
宗,889,5B97,1100,religion,sect,denomination,main point,origin,essence,,,,,, 
就,890,5C31,1969,concerning,settle,take position,depart,study,per,,,,,, 
州,304,5DDE,128,state,province,,,,,,,,,, 
修,704,4FEE,1722,discipline,conduct oneself well,study,master,,,,,,,, 
愁,1357,6101,901,distress,grieve,lament,be anxious,,,,,,,, 
拾,305,62FE,667,pick up,gather,find,go on foot,ten,,,,,,, 
洲,,6D32,2289,continent,sandbar,island,country,,,,,,,, 
秀,1355,79C0,914,excel,excellence,beauty,surpass,,,,,,,, 
秋,140,79CB,900,autumn,,,,,,,,,,, 
終,306,7D42,1352,end,finish,,,,,,,,,, 
繍,,7E4D,2665,sew,figured cloth,,,,,,,,,, 
習,307,7FD2,574,learn,,,,,,,,,,, 
臭,1356,81ED,122,stinking,ill-smelling,suspicious looking,odor,savor,fragrance,be fragrant,stink,glow,be bright,, 
舟,1354,821F,1868,boat,ship,,,,,,,,,, 
蒐,,8490,2409,gather,,,,,,,,,,, 
衆,705,8846,1857,masses,great numbers,multitude,populace,,,,,,,, 
襲,1360,8972,2025,attack,advance on,succeed to,pile,heap,,,,,,, 
讐,,8B90,2707,enemy,revenge,,,,,,,,,, 
蹴,,8E74,2742,kick,,,,,,,,,,, 
輯,,8F2F,2732,gather,collect,compile,,,,,,,,, 
週,308,9031,318,week,,,,,,,,,,, 
酋,,914B,2906,chieftain,,,,,,,,,,, 
酬,1358,916C,1432,repay,reward,retribution,,,,,,,,, 
集,309,96C6,559,gather,meet,congregate,swarm,flock,,,,,,, 
醜,1359,919C,2020,ugly,unclean,shame,bad looking,,,,,,,, 
什,,4EC0,2968,utensil,thing,ten,,,,,,,,, 
住,310,4F4F,954,dwell,reside,live,inhabit,,,,,,,, 
充,1362,5145,761,allot,fill,,,,,,,,,, 
十,33,5341,10,ten,,,,,,,,,,, 
従,891,5F93,877,accompany,obey,submit to,comply,follow,secondary,incidental,subordinate,,,, 
柔,1363,67D4,1226,tender,weakness,gentleness,softness,,,,,,,, 
汁,1361,6C41,140,soup,juice,broth,sap,gravy,pus,,,,,, 
渋,1364,6E0B,1738,astringent,hesitate,reluctant,have diarrhea,,,,,,,, 
獣,1366,7363,1933,animal,beast,,,,,,,,,, 
縦,892,7E26,1338,vertical,length,height,self-indulgent,wayward,,,,,,, 
重,311,91CD,1675,heavy,heap up,pile up,nest of boxes,-fold,,,,,,, 
銃,1365,9283,762,gun,arms,,,,,,,,,, 
叔,1367,53D4,718,uncle,youth,,,,,,,,,, 
夙,,5919,2141,bright and early,long ago,early in life,,,,,,,,, 
宿,505,5BBF,995,inn,lodging,relay station,dwell,lodge,be pregnant,home,dwelling,,,, 
淑,1368,6DD1,721,graceful,gentle,pure,,,,,,,,, 
祝,706,795D,1089,celebrate,congratulate,,,,,,,,,, 
縮,893,7E2E,1336,shrink,contract,shrivel,wrinkle,reduce,,,,,,, 
粛,1369,7C9B,1733,solemn,quietly,softly,,,,,,,,, 
塾,1370,587E,309,cram school,private school,,,,,,,,,, 
熟,894,719F,310,mellow,ripen,mature,acquire skill,,,,,,,, 
出,34,51FA,767,exit,leave,go out,come out,put out,protrude,,,,,, 
術,708,8853,1525,art,technique,skill,means,trick,resources,magic,,,,, 
述,707,8FF0,1524,mention,state,speak,relate,,,,,,,, 
俊,1371,4FCA,1014,sagacious,genius,excellence,,,,,,,,, 
峻,,5CFB,2061,high,steep,,,,,,,,,, 
春,141,6625,1568,springtime,spring (season),,,,,,,,,, 
瞬,1372,77AC,817,wink,blink,twinkle,,,,,,,,, 
竣,,7AE3,2062,end,finish,,,,,,,,,, 
舜,,821C,2915,type of morning glory,rose of Sharon,althea,,,,,,,,, 
駿,,99FF,2060,a good horse,speed,a fast person,,,,,,,,, 
准,1376,51C6,560,quasi-,semi-,associate,,,,,,,,, 
循,1378,5FAA,1854,sequential,fellow,,,,,,,,,, 
旬,1373,65EC,67,decameron,10-day period,season (for specific products),,,,,,,,, 
楯,,696F,2513,shield,buckler,pretext,,,,,,,,, 
殉,1377,6B89,809,martyrdom,follow by resigning,,,,,,,,,, 
淳,,6DF3,2318,pure,,,,,,,,,,, 
準,709,6E96,564,semi-,correspond to,proportionate to,conform,imitate,,,,,,, 
潤,1379,6F64,1627,wet,be watered,profit by,receive benefits,favor,charm,steep,,,,, 
盾,1375,76FE,1853,shield,escutcheon,pretext,,,,,,,,, 
